Property Code,Owner / Broker,Owner Name,Number,City,Loatlity,Actucally Locaion,Property Type,Sqft Areas,Price,Potral,possession
E88442864,Owner,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-ten-bkc-bandra-east-western-mumbai-2409-sq-ft-spid-E88442864,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-ten-bkc-bandra-east-western-mumbai-2409-sq-ft-spid-E88442864,Bandra,Bandra East,Ten BKC,3 BHK Flat for rent,"2,409 sqft",₹2.8 Lac /month,99acres,N/A
Z88432406,Owner,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-sunroak-bandra-west-western-mumbai-1200-sq-ft-spid-Z88432406,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-sunroak-bandra-west-western-mumbai-1200-sq-ft-spid-Z88432406,Bandra,Bandra West,Sunroak,3 BHK Flat for rent,"1,200 sqft",₹1 Lac /month,99acres,N/A
N88347028,Owner,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-gurukrupa-nirmalam-bandra-east-western-mumbai-625-sq-ft-spid-N88347028,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-gurukrupa-nirmalam-bandra-east-western-mumbai-625-sq-ft-spid-N88347028,Bandra,Bandra East,Gurukrupa Nirmalam,2 BHK Flat for rent,624 sqft,"₹85,000 /month",99acres,N/A
W71486602,Owner,https://www.99acres.com/1-bhk-bedroom-independent-house-villa-for-rent-in-chmbai-village-bandra-west-western-mumbai-250-sq-ft-r1-spid-W71486602,https://www.99acres.com/1-bhk-bedroom-independent-house-villa-for-rent-in-chmbai-village-bandra-west-western-mumbai-250-sq-ft-r1-spid-W71486602,Bandra,Bandra West,CHMBAI VILLAGE,1 Bedroom House for rent,250 sqft,"₹21,000 /month",99acres,N/A
E41834287,Owner,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-reminess-apartment-bandra-west-western-mumbai-1650-sq-ft-r1-spid-E41834287,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-reminess-apartment-bandra-west-western-mumbai-1650-sq-ft-r1-spid-E41834287,Bandra,Bandra West,Reminess Apartment,3 BHK Flat for rent,"1,650 sqft",₹2.2 Lac /month,99acres,N/A
Y88174678,Owner,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-rent-in-mariam-villa-bandra-west-western-mumbai-250-sq-ft-spid-Y88174678,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-rent-in-mariam-villa-bandra-west-western-mumbai-250-sq-ft-spid-Y88174678,Bandra,Bandra West,Mariam Villa,1 BHK Flat for rent,250 sqft,"₹35,000 /month",99acres,N/A
T88145856,Owner,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-rent-in-bandra-east-western-mumbai-300-sq-ft-spid-T88145856,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-rent-in-bandra-east-western-mumbai-300-sq-ft-spid-T88145856,Bandra,Bandra East,Titanic,1 BHK Flat for rent,300 sqft,"₹25,000 /month",99acres,N/A
J88098308,Owner,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-bandra-east-western-mumbai-1200-sq-ft-spid-J88098308,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-bandra-east-western-mumbai-1200-sq-ft-spid-J88098308,Bandra,Bandra East,N/A,3 BHK Flat for rent,"1,200 sqft",₹1.4 Lac /month,99acres,N/A
G88086638,Owner,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-hill-road-western-mumbai-900-sq-ft-spid-G88086638,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-hill-road-western-mumbai-900-sq-ft-spid-G88086638,Bandra,Hill road,opp holy family hospital,2 BHK Flat for rent,900 sqft,₹1.5 Lac /month,99acres,N/A
S88032968,Owner,https://www.99acres.com/1-bhk-bedroom-independent-builder-floor-for-rent-in-bandra-west-western-mumbai-450-sq-ft-spid-S88032968,https://www.99acres.com/1-bhk-bedroom-independent-builder-floor-for-rent-in-bandra-west-western-mumbai-450-sq-ft-spid-S88032968,Bandra,Bandra West,"Bandra West, Mumbai, Western Mumbai",1 BHK Independent Builder Floor for rent,450 sqft,"₹35,000 /month",99acres,N/A
